section,shape,representation,rows,fetch_rows,bpr_before,bpr_after,bpr_delta_pct,os_bpr_before,os_bpr_shrink,os_bpr_after,os_over_acc_before_pct,os_over_acc_after_pct,append_ms_before,append_ms_after,read_ns_before,read_ns_after
shape,numbers10,store,1000,1000,118.2,118.3,+0.08,0.0,127.0,122.9,-100.0,+3.9,0.15,0.27,9.5,10.6
shape,numbers10,store,100000,1000,118.1,118.2,+0.08,127.6,127.9,129.9,+8.1,+9.9,15.92,13.85,44.8,58.9
shape,numbers10,store,1000000,1000,118.1,118.2,+0.08,123.9,124.2,124.1,+4.9,+5.0,181.69,121.59,81.8,81.4
shape,text5date2,store,1000,1000,416.1,416.1,+0.00,450.6,475.1,1155.1,+8.3,+177.6,0.17,0.27,12.6,18.5
shape,text5date2,store,100000,1000,415.5,415.6,+0.02,430.7,612.9,434.5,+3.6,+4.5,25.17,19.67,103.1,118.2
shape,text5date2,store,1000000,1000,415.5,415.6,+0.02,428.6,657.6,428.8,+3.2,+3.2,216.19,195.64,177.7,166.4
shape,clob32k_inline,store,1000,1000,32776.3,32776.3,+0.00,32837.6,33366.0,32837.6,+0.2,+0.2,6.36,6.64,11.3,13.9
shape,clob32k_inline,store,10000,1000,32776.3,32776.3,+0.00,32837.6,32838.9,32836.8,+0.2,+0.2,61.92,70.94,26.7,36.7
shape,clob32k_inline,store,100000,1000,32776.3,32776.3,+0.00,32855.4,32862.2,32851.4,+0.2,+0.2,670.01,732.30,195.0,187.8
shape,s14,store,1000,1000,73.4,73.4,+0.00,41.0,94.2,0.0,-44.2,-100.0,0.05,0.09,16.4,18.8
shape,s14,store,100000,1000,73.3,73.4,+0.14,79.3,81.4,79.1,+8.1,+7.8,3.61,3.81,65.0,66.5
shape,s14,store,1000000,1000,73.3,73.4,+0.14,77.5,77.2,76.0,+5.7,+3.6,37.90,35.91,102.1,94.6
fetch_size,s14,store,100000,100,76.1,76.6,+0.66,85.6,84.3,88.0,+12.5,+14.9,4.83,3.47,94.3,83.5
fetch_size,s14,store,100000,10000,73.1,73.1,+0.00,73.5,85.2,72.0,+0.6,-1.6,4.15,4.34,65.0,62.3
fetch_size,text5date2,store,100000,100,421.6,422.4,+0.19,453.9,457.1,456.7,+7.7,+8.1,17.56,16.69,122.4,131.0
fetch_size,text5date2,store,100000,10000,414.9,415.0,+0.02,432.6,420.2,431.8,+4.3,+4.1,13.16,14.31,93.2,117.2
